Story ID,Epic,As a...,I want to...,So that...,Acceptance Criteria,Story Points,Priority
US-01,Knowledge Base,consultant,have the tool pre-loaded with Oracle documentation,I do not have to search through Oracle's website manually,"1. At least 10 Oracle reference documents exist in data/oracle_docs/. 2. Each document covers a different Oracle module or OIC concept. 3. Documents are readable and clearly sourced.",3,High
US-02,Knowledge Base,consultant,have the document library update its index only when files change,the tool does not waste time re-reading the same documents on every run,"1. On first run the index is built and saved to disk. 2. On second run with no file changes the index loads from disk in under 2 seconds. 3. If a document is added or edited the index rebuilds automatically.",5,High
US-03,Requirement Parsing,consultant,type my integration requirement in plain English,I do not need to know any technical format or Oracle terminology upfront,"1. A sentence like ""Sync Workday hires to Oracle HCM nightly"" is accepted as valid input. 2. The tool identifies the source system, target system, and integration type from the sentence. 3. No error is thrown for reasonable plain-English variations.",3,High
US-04,Requirement Parsing,consultant,have the tool automatically identify the correct integration pattern,I know whether to build a scheduled sync or an event-driven flow before any design work begins,"1. Scheduled keywords (""every night"", ""daily"", ""at 2am"") map to the Scheduled pattern. 2. Event keywords (""when an order is created"", ""on approval"") map to the Event-Driven pattern. 3. The identified pattern appears in the generated spec.",3,High
US-05,Requirement Parsing,consultant,have the tool retry if its first attempt to read my requirement fails,a single formatting issue in the AI response does not crash the whole tool,"1. If the first AI response is invalid the tool tries a second time automatically. 2. The second attempt includes the error message from the first so the AI can self-correct. 3. After two failed attempts a clear error message is shown — not a stack trace.",2,Medium
US-06,Integration Design,consultant,see the exact API endpoints the integration will call,I have a concrete starting point instead of a blank page,"1. The spec includes a source endpoint (e.g. Workday REST path) and a target endpoint (e.g. Oracle HCM REST path). 2. Each endpoint includes the authentication method. 3. A sample request and response payload is shown for both systems.",5,High
US-07,Integration Design,consultant,see a field-by-field mapping table in the generated spec,I know exactly which field in System A becomes which field in System B and how to convert it,"1. The mapping table lists source field, target field, transformation rule, and whether the field is required. 2. At least the most important fields are covered. 3. Transformation rules use real examples (e.g. date format conversion, prefix, lookup).",5,High
US-08,Integration Design,consultant,see error handling steps in every generated spec,I never forget to design what happens when a record fails,"1. The spec includes at least one per-record error handling step. 2. The spec includes a catch-all handler for integration-level failures. 3. If a notification (Slack, email) was mentioned in the requirement it appears in the error handling section.",3,High
US-09,Critic Pass,senior consultant reviewing the output,have the tool flag its own assumptions before I read the spec,I can focus my review on the decisions that matter rather than hunting for hidden guesses,"1. The Assumptions section lists at least 3 items the AI inferred but did not confirm. 2. The Open Questions section lists things the requirement did not specify. 3. Both sections are populated by a second independent AI pass not the same one that wrote the spec.",5,High
US-10,Critic Pass,consultant,be able to skip the critic step when I just want a quick draft,I can get a result faster during early exploration without waiting for two AI calls,"1. Running the tool with --no-critic skips the second AI call. 2. The output still contains all spec sections — assumptions and open questions may just be shorter. 3. The Streamlit UI has a checkbox to toggle this.",1,Low
US-11,Output,consultant,download the generated spec as a Markdown file,I can share it with my team or paste it into Confluence without reformatting,"1. A --output flag on the CLI saves the spec to a named .md file. 2. The Streamlit UI has a Download as Markdown button. 3. The downloaded file opens correctly in any Markdown viewer.",2,Medium
US-12,Output,non-technical stakeholder being shown the design,see a simple diagram of the integration flow,I can understand how the systems connect without reading the technical detail,"1. Every generated spec includes a Mermaid sequence diagram. 2. The diagram shows the correct actors based on the integration type (scheduled shows a scheduler trigger; event-driven shows a webhook). 3. The diagram renders in the Streamlit UI and in GitHub Markdown preview.",3,Medium
US-13,Interfaces,consultant who prefers the terminal,run the tool with a single command and get the spec printed to the screen,I can use it in a script or pipeline without opening a browser,"1. python -m copilot ""<requirement>"" works with no additional setup after installation. 2. Output is clean Markdown printed to stdout. 3. Flags like --k --model and --verbose work as documented.",3,High
US-14,Interfaces,consultant doing a live demo,use a simple browser interface to generate and show a spec,I can demonstrate the tool to a client without anyone needing to use the terminal,"1. streamlit run app.py opens a working UI in the browser. 2. The UI has a text box for the requirement and shows the generated spec on the same screen. 3. The UI shows a loading indicator while generating so it does not appear frozen.",5,High
US-15,Quality,developer maintaining the codebase,have automated tests for the core logic,I can change the code confidently knowing I will be told immediately if something breaks,"1. Tests exist for the parser retry logic. 2. Tests exist for the retrieval query construction. 3. Tests exist for all Pydantic schema validations. 4. All tests pass with pytest and require no API key or live internet connection.",5,Medium
